ANTMToBrokerCode	ANTM	Start	2026-01-23	End	2026-01-23	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
ZP	386,568	168,292,396,000	4353.50	1	AK	317,097	137,275,109,000	4329.12
AK	370,662	160,382,218,000	4326.91	2	ZP	313,946	136,041,085,000	4333.26
CC	212,501	92,181,675,000	4337.94	3	CC	242,935	105,420,862,000	4339.47
YP	179,016	77,227,482,000	4314.00	4	YP	199,996	86,585,123,000	4329.34
XL	128,559	55,610,636,000	4325.69	5	XL	179,077	77,542,516,000	4330.12
BK	111,780	48,508,318,000	4339.62	6	XC	93,705	40,573,939,000	4329.97
XC	106,489	46,115,063,000	4330.50	7	BK	78,093	33,901,054,000	4341.11
DX	76,390	33,158,152,000	4340.64	8	NI	59,002	25,548,412,000	4330.09
TP	53,540	23,034,258,000	4302.25	9	PD	54,089	23,440,545,000	4333.70
PD	46,904	20,303,478,000	4328.73	10	RF	50,200	21,587,400,000	4300.28
BB	40,189	17,475,935,000	4348.44	11	KZ	33,000	14,265,394,800	4322.85
DR	27,736	11,991,284,000	4323.36	12	SQ	32,461	14,089,246,000	4340.36
NI	27,628	11,912,105,000	4311.61	13	LG	31,430	13,662,850,000	4347.07
KZ	26,216	11,410,170,800	4352.37	14	AZ	28,636	12,348,179,000	4312.12
YU	24,541	10,682,717,000	4353.01	15	AG	27,588	12,015,823,000	4355.45
OD	24,028	10,402,598,000	4329.36	16	OD	27,612	11,962,724,000	4332.44
HD	22,441	9,747,911,000	4343.80	17	DR	27,126	11,753,449,000	4332.91
SQ	22,042	9,515,207,000	4316.85	18	HD	26,888	11,658,320,000	4335.88
AZ	19,540	8,493,689,000	4346.82	19	CP	26,525	11,531,794,000	4347.52
AG	19,155	8,272,883,000	4318.92	20	KK	24,425	10,606,044,000	4342.29
KK	17,284	7,460,922,000	4316.66	21	MG	22,325	9,633,886,000	4315.29
CP	16,796	7,283,380,000	4336.38	22	AT	13,809	5,981,505,000	4331.60
LG	14,923	6,413,833,000	4297.95	23	GR	13,548	5,865,904,000	4329.72
GR	13,505	5,833,744,000	4319.69	24	EP	12,725	5,498,867,000	4321.31
AT	12,104	5,239,648,000	4328.86	25	YU	11,580	5,023,093,000	4337.73
MG	11,463	4,922,160,000	4293.95	26	HP	11,297	4,834,678,000	4279.61
BR	11,102	4,777,904,000	4303.64	27	BR	10,975	4,788,300,000	4362.92
